"Date","Nokia","Apple","RIM","Sony","Samsung","Motorola","Palm","T-Mobile","Nintendo","Google","LG","HTC","Other"
2010-04,37.58,33.15,15.86,8.3,2.37,0.3,0.66,0.97,0.3,0.18,0.23,0.09,0.01
2010-05,37.37,33.09,16.16,7.96,3.27,0.12,0.65,0.79,0.29,0.17,0.08,0.03,0.01
2010-06,38.28,30.71,17.23,7.9,3.86,0.11,0.65,0.66,0.28,0.19,0.08,0.03,0.01
2010-07,36.78,30.09,19.04,7.9,3.83,0.29,0.7,0.58,0.28,0.21,0.21,0.07,0.01
2010-08,36.4,29.82,19.71,7.81,4.07,0.35,0.63,0.46,0.27,0.19,0.22,0.07,0.01
2010-09,38.06,26.72,20.99,7.84,4.53,0.4,0.5,0.35,0.17,0.17,0.18,0.06,0
2010-10,37.81,26.5,21.51,7.81,4.68,0.42,0.45,0.29,0.15,0.16,0.16,0.05,0
2010-11,36.54,25.72,22.6,7.04,5.59,1.37,0.4,0.24,0.15,0.15,0.15,0.04,0
2010-12,34.4,28.04,21.48,6.6,6.6,1.76,0.39,0.21,0.18,0.15,0.15,0.04,0
2010-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03,0,0,0,0,0,0,0,0,0,0,0,0,0
